ENSG00000000419:ENSG00000259456 DPM1:ADNP-AS1
ENSG00000002834:ENSG00000263466 LASP1:AC006441.1
ENSG00000002834:ENSG00000265784 LASP1:AC006441.3
ENSG00000002834:ENSG00000277057 LASP1:MIR6779
ENSG00000002933:ENSG00000106565 TMEM176A:TMEM176B
ENSG00000003056:ENSG00000111752 M6PR:PHC1
ENSG00000003096:ENSG00000200291 KLHL13:Y_RNA
ENSG00000003147:ENSG00000227719 ICA1:AC006042.1
ENSG00000003147:ENSG00000229970 ICA1:AC007128.1
ENSG00000003147:ENSG00000244239 ICA1:AC007009.1
ENSG00000003249:ENSG00000141013 DBNDD1:GAS8
ENSG00000003393:ENSG00000230799 ALS2:AC007279.1
ENSG00000003400:ENSG00000225796 CASP10:MTND4P23
ENSG00000003400:ENSG00000227348 CASP10:MTND5P25
ENSG00000003400:ENSG00000235318 CASP10:MTND4LP13
ENSG00000003402:ENSG00000226312 CFLAR:CFLAR-AS1
ENSG00000003402:ENSG00000232133 CFLAR:IMPDH1P10
ENSG00000003402:ENSG00000234431 CFLAR:AC007283.1
ENSG00000003402:ENSG00000235579 CFLAR:AC007283.2
ENSG00000003402:ENSG00000238829 CFLAR:RNU7-45P
ENSG00000003436:ENSG00000224063 TFPI:AC007319.1
ENSG00000003509:ENSG00000115816 NDUFAF7:CEBPZ
ENSG00000003509:ENSG00000115825 NDUFAF7:PRKD3
ENSG00000003756:ENSG00000004534 RBM5:RBM6
ENSG00000003756:ENSG00000235016 RBM5:SEMA3F-AS1
ENSG00000003756:ENSG00000281691 RBM5:RBM5-AS1
ENSG00000003987:ENSG00000155975 MTMR7:VPS37A
ENSG00000003989:ENSG00000279271 SLC7A2:AP006248.2
ENSG00000003989:ENSG00000279903 SLC7A2:AP006248.3
ENSG00000003989:ENSG00000279932 SLC7A2:AP006248.4
ENSG00000003989:ENSG00000280453 SLC7A2:AP006248.5
ENSG00000004059:ENSG00000106328 ARF5:FSCN3
ENSG00000004059:ENSG00000179562 ARF5:GCC1
ENSG00000004139:ENSG00000076351 SARM1:SLC46A1
ENSG00000004139:ENSG00000109072 SARM1:VTN
ENSG00000004139:ENSG00000258924 SARM1:AC002094.1
ENSG00000004139:ENSG00000273171 SARM1:AC002094.3
ENSG00000004139:ENSG00000274529 SARM1:SEBOX
ENSG00000004139:ENSG00000277450 SARM1:AC002094.4
ENSG00000004139:ENSG00000279532 SARM1:AC002094.5
ENSG00000004399:ENSG00000239437 PLXND1:RN7SL752P
ENSG00000004455:ENSG00000236065 AK2:AL020995.1
ENSG00000004455:ENSG00000276645 AK2:Metazoa_SRP
ENSG00000004478:ENSG00000256150 FKBP4:ITFG2-AS1
ENSG00000004478:ENSG00000258092 FKBP4:AC005841.1
ENSG00000004478:ENSG00000258325 FKBP4:ITFG2-AS1
ENSG00000004487:ENSG00000240553 KDM1A:AL031428.1
ENSG00000004487:ENSG00000263793 KDM1A:MIR3115
ENSG00000004487:ENSG00000266802 KDM1A:MIR4419A
ENSG00000004534:ENSG00000003756 RBM6:RBM5
ENSG00000004534:ENSG00000281691 RBM6:RBM5-AS1
ENSG00000004700:ENSG00000121350 RECQL:PYROXD1
ENSG00000004776:ENSG00000267328 HSPB6:AC002398.2
ENSG00000004777:ENSG00000225872 ARHGAP33:LINC01529
ENSG00000004809:ENSG00000241162 SLC22A16:RN7SL617P
ENSG00000004838:ENSG00000235058 ZMYND10:ZMYND10-AS1
ENSG00000004846:ENSG00000223866 ABCB5:AC002486.1
ENSG00000004864:ENSG00000208025 SLC25A13:MIR591
ENSG00000004864:ENSG00000237551 SLC25A13:AC096775.1
ENSG00000004864:ENSG00000275834 SLC25A13:AC084368.1
ENSG00000004866:ENSG00000213050 ST7:TPM3P1
ENSG00000004866:ENSG00000214188 ST7:ST7-OT4
ENSG00000004866:ENSG00000226367 ST7:ST7-AS2
ENSG00000004866:ENSG00000227199 ST7:ST7-AS1
ENSG00000004866:ENSG00000227532 ST7:AC002542.1
ENSG00000004866:ENSG00000228368 ST7:AC106873.1
ENSG00000004866:ENSG00000273571 ST7:ST7-OT4_2
ENSG00000004866:ENSG00000273596 ST7:ST7-OT4_1
ENSG00000004866:ENSG00000274344 ST7:ST7-AS2_1
ENSG00000004866:ENSG00000274606 ST7:ST7-OT4_4
ENSG00000004866:ENSG00000275054 ST7:ST7-OT3_1
ENSG00000004866:ENSG00000276100 ST7:ST7-OT4_3
ENSG00000004866:ENSG00000277583 ST7:ST7-AS1_2
ENSG00000004866:ENSG00000278482 ST7:ST7-OT3_3
ENSG00000004866:ENSG00000278526 ST7:ST7-OT3_2
ENSG00000004866:ENSG00000283923 ST7:MIR6132
ENSG00000004897:ENSG00000239291 CDC27:AC002558.1
ENSG00000004897:ENSG00000261872 CDC27:AC002558.2
ENSG00000004897:ENSG00000262265 CDC27:AC002558.3
ENSG00000004948:ENSG00000207656 CALCR:MIR489
ENSG00000004948:ENSG00000208014 CALCR:MIR653
ENSG00000004961:ENSG00000207151 HCCS:Y_RNA
ENSG00000005001:ENSG00000263325 PRSS22:AC003965.2
ENSG00000005020:ENSG00000213787 SKAP2:AC073472.1
ENSG00000005020:ENSG00000226059 SKAP2:HMGB3P20
ENSG00000005022:ENSG00000224281 SLC25A5:SLC25A5-AS1
ENSG00000005059:ENSG00000138794 MCUB:CASP6
ENSG00000005059:ENSG00000248785 MCUB:HIGD1AP14
ENSG00000005073:ENSG00000240990 HOXA11:HOXA11-AS
ENSG00000005075:ENSG00000161036 POLR2J:LRWD1
ENSG00000005100:ENSG00000108561 DHX33:C1QBP
ENSG00000005108:ENSG00000230333 THSD7A:AC004160.1
ENSG00000005108:ENSG00000230435 THSD7A:AC004160.2
ENSG00000005108:ENSG00000235920 THSD7A:AC073109.1
ENSG00000005156:ENSG00000092871 LIG3:RFFL
ENSG00000005156:ENSG00000132141 LIG3:CCT6B
ENSG00000005175:ENSG00000276390 RPAP3:AC004241.3
ENSG00000005187:ENSG00000066654 ACSM3:THUMPD1
ENSG00000005187:ENSG00000166743 ACSM3:ACSM1
ENSG00000005187:ENSG00000196678 ACSM3:ERI2
ENSG00000005187:ENSG00000200893 ACSM3:RNU6-944P
ENSG00000005187:ENSG00000260510 ACSM3:AC004381.1
ENSG00000005187:ENSG00000274730 ACSM3:AC141273.2
ENSG00000005187:ENSG00000275315 ACSM3:AC141273.3
ENSG00000005187:ENSG00000283399 ACSM3:AC004381.2
ENSG00000005189:ENSG00000196678 REXO5:ERI2
ENSG00000005189:ENSG00000275908 REXO5:U4atac
ENSG00000005194:ENSG00000088682 CIAPIN1:COQ9
ENSG00000005206:ENSG00000130332 SPPL2B:LSM7
ENSG00000005206:ENSG00000273734 SPPL2B:AC005258.1
ENSG00000005243:ENSG00000207947 COPZ2:MIR152
ENSG00000005249:ENSG00000243193 PRKAR2B:AC006387.1
ENSG00000005339:ENSG00000262516 CREBBP:AC007151.1
ENSG00000005379:ENSG00000265148 TSPOAP1:TSPOAP1-AS1
ENSG00000005436:ENSG00000115364 GCFC2:MRPL19
ENSG00000005436:ENSG00000270462 GCFC2:AC005034.2
ENSG00000005436:ENSG00000270696 GCFC2:AC005034.3
ENSG00000005436:ENSG00000271452 GCFC2:AC005034.5
ENSG00000005483:ENSG00000135250 KMT2E:SRPK2
ENSG00000005483:ENSG00000239569 KMT2E:KMT2E-AS1
ENSG00000005483:ENSG00000272918 KMT2E:AC005070.3
ENSG00000005700:ENSG00000223044 IBTK:RNU6-130P
ENSG00000005801:ENSG00000254592 ZNF195:AC123788.1
ENSG00000005810:ENSG00000229521 MYCBP2:MYCBP2-AS2
ENSG00000005810:ENSG00000236051 MYCBP2:MYCBP2-AS1
ENSG00000005810:ENSG00000283208 MYCBP2:AC001226.2
ENSG00000005812:ENSG00000102805 FBXL3:CLN5
ENSG00000005812:ENSG00000236051 FBXL3:MYCBP2-AS1
ENSG00000005812:ENSG00000283208 FBXL3:AC001226.2
ENSG00000005844:ENSG00000251706 ITGAL:RNU7-61P
ENSG00000005844:ENSG00000260487 ITGAL:AC116348.1
ENSG00000005844:ENSG00000261332 ITGAL:AC116348.2
ENSG00000005844:ENSG00000261346 ITGAL:AC116348.3
ENSG00000005844:ENSG00000266305 ITGAL:MIR4518
ENSG00000005882:ENSG00000167100 PDK2:SAMD14
ENSG00000005882:ENSG00000250282 PDK2:AC002401.2
ENSG00000005882:ENSG00000275025 PDK2:AC002401.3
ENSG00000005889:ENSG00000234230 ZFX:ZFX-AS1
ENSG00000006007:ENSG00000260934 GDE1:AC130456.5
ENSG00000006007:ENSG00000279747 GDE1:AC130456.6
ENSG00000006015:ENSG00000006016 C19orf60:CRLF1
ENSG00000006016:ENSG00000006015 CRLF1:C19orf60
ENSG00000006016:ENSG00000105696 CRLF1:TMEM59L
ENSG00000006016:ENSG00000221983 CRLF1:UBA52
ENSG00000006047:ENSG00000181856 YBX2:SLC2A4
ENSG00000006062:ENSG00000267278 MAP3K14:MAP3K14-AS1
ENSG00000006071:ENSG00000255035 ABCC8:SDHCP4
ENSG00000006116:ENSG00000201541 CACNG3:SNORA1
ENSG00000006118:ENSG00000110446 TMEM132A:SLC15A3
ENSG00000006118:ENSG00000256196 TMEM132A:AP003721.1
ENSG00000006125:ENSG00000108733 AP2B1:PEX12
ENSG00000006125:ENSG00000267592 AP2B1:AC004134.1
ENSG00000006125:ENSG00000270647 AP2B1:TAF15
ENSG00000006194:ENSG00000140993 ZNF263:TIGD7
ENSG00000006194:ENSG00000279031 ZNF263:AC004232.3
ENSG00000006194:ENSG00000279330 ZNF263:AJ003147.3
ENSG00000006194:ENSG00000281005 ZNF263:LINC00921
ENSG00000006282:ENSG00000049283 SPATA20:EPN3
ENSG00000006283:ENSG00000250107 CACNA1G:CACNA1G-AS1
ENSG00000006283:ENSG00000250976 CACNA1G:AC021491.3
ENSG00000006283:ENSG00000251239 CACNA1G:AC004590.1
ENSG00000006327:ENSG00000184697 TNFRSF12A:CLDN6
ENSG00000006377:ENSG00000231764 DLX6:DLX6-AS1
ENSG00000006451:ENSG00000228554 RALA:AC004837.2
ENSG00000006453:ENSG00000164713 BAIAP2L1:BRI3
ENSG00000006453:ENSG00000214389 BAIAP2L1:RPS3AP26
ENSG00000006453:ENSG00000272950 BAIAP2L1:AC093799.2
ENSG00000006459:ENSG00000251728 KDM7A:Y_RNA
ENSG00000006530:ENSG00000244701 AGK:AC004918.1
ENSG00000006530:ENSG00000261570 AGK:AC073878.1
ENSG00000006534:ENSG00000255306 ALDH3B1:AC004923.4
ENSG00000006555:ENSG00000237453 TTC22:AC096536.2
ENSG00000006576:ENSG00000222432 PHTF2:Y_RNA
ENSG00000006607:ENSG00000115694 FARP2:STK25
ENSG00000006607:ENSG00000224232 FARP2:AC005104.2
ENSG00000006607:ENSG00000263752 FARP2:MIR3133
ENSG00000006625:ENSG00000281039 GGCT:AC005154.6
ENSG00000006634:ENSG00000075303 DBF4:SLC25A40
ENSG00000006652:ENSG00000180019 IFRD1:AC079741.1
ENSG00000006652:ENSG00000181016 IFRD1:LSMEM1
ENSG00000006695:ENSG00000252305 COX10:SNORA74
ENSG00000006704:ENSG00000238391 GTF2IRD1:RNA5SP233
ENSG00000006740:ENSG00000263707 ARHGAP44:AC005277.1
ENSG00000006740:ENSG00000265489 ARHGAP44:AC005358.2
ENSG00000006740:ENSG00000265503 ARHGAP44:MIR1269B
ENSG00000006740:ENSG00000277621 ARHGAP44:AC005277.2
ENSG00000006740:ENSG00000280168 ARHGAP44:AC005274.1
ENSG00000006747:ENSG00000225606 SCIN:AC005281.1
ENSG00000006747:ENSG00000229233 SCIN:AC011891.1
ENSG00000006756:ENSG00000229851 ARSD:ARSD-AS1
ENSG00000006788:ENSG00000264067 MYH13:AC005291.1
ENSG00000006788:ENSG00000273388 MYH13:AC005291.2
ENSG00000006831:ENSG00000243663 ADIPOR2:RPS4XP14
ENSG00000006831:ENSG00000271500 ADIPOR2:AC005183.1
ENSG00000006837:ENSG00000273345 CDKL3:AC104109.4
ENSG00000007001:ENSG00000212410 UPP2:RNU6-932P
ENSG00000007001:ENSG00000228937 UPP2:AC005539.1
ENSG00000007001:ENSG00000231158 UPP2:PTP4A1P1
ENSG00000007001:ENSG00000237327 UPP2:UPP2-IT1
ENSG00000007001:ENSG00000251980 UPP2:RNU6-436P
ENSG00000007001:ENSG00000270557 UPP2:AC013731.1
ENSG00000007001:ENSG00000271320 UPP2:AC091488.1
ENSG00000007038:ENSG00000262154 PRSS21:EIF1P4
ENSG00000007047:ENSG00000007255 MARK4:TRAPPC6A
ENSG00000007047:ENSG00000104866 MARK4:PPP1R37
ENSG00000007047:ENSG00000142252 MARK4:GEMIN7
ENSG00000007047:ENSG00000179846 MARK4:NKPD1
ENSG00000007047:ENSG00000189114 MARK4:BLOC1S3
ENSG00000007047:ENSG00000266958 MARK4:AC005779.1
ENSG00000007047:ENSG00000267044 MARK4:AC005757.1
ENSG00000007047:ENSG00000267346 MARK4:EIF5AP3
ENSG00000007047:ENSG00000267348 MARK4:AC011489.1
ENSG00000007047:ENSG00000267545 MARK4:AC005779.2
ENSG00000007047:ENSG00000283632 MARK4:EXOC3L2
ENSG00000007062:ENSG00000137441 PROM1:FGFBP2
ENSG00000007129:ENSG00000268027 CEACAM21:AC243960.1
ENSG00000007129:ENSG00000280014 CEACAM21:AC243960.7
ENSG00000007168:ENSG00000239884 PAFAH1B1:RN7SL608P
ENSG00000007168:ENSG00000262480 PAFAH1B1:SAMD11P1
ENSG00000007168:ENSG00000272770 PAFAH1B1:AC005696.2
ENSG00000007168:ENSG00000279432 PAFAH1B1:AC015799.1
ENSG00000007171:ENSG00000266202 NOS2:AC005697.1
ENSG00000007174:ENSG00000263684 DNAH9:AC005209.1
ENSG00000007174:ENSG00000266368 DNAH9:AC005410.2
ENSG00000007202:ENSG00000227543 KIAA0100:SPAG5-AS1
ENSG00000007202:ENSG00000264044 KIAA0100:AC005726.3
ENSG00000007216:ENSG00000258472 SLC13A2:AC005726.2
ENSG00000007255:ENSG00000007047 TRAPPC6A:MARK4
ENSG00000007341:ENSG00000116489 ST7L:CAPZA1
ENSG00000007341:ENSG00000134245 ST7L:WNT2B
ENSG00000007350:ENSG00000278057 TKTL1:TEX28
ENSG00000007372:ENSG00000049449 PAX6:RCN1
ENSG00000007372:ENSG00000109911 PAX6:ELP4
ENSG00000007376:ENSG00000127586 RPUSD1:CHTF18
ENSG00000007384:ENSG00000278995 RHBDF1:Z69720.2
ENSG00000007402:ENSG00000202322 CACNA2D2:RNA5SP131
ENSG00000007402:ENSG00000271858 CACNA2D2:CYB561D2
ENSG00000007402:ENSG00000272104 CACNA2D2:Z84492.1
ENSG00000007516:ENSG00000007520 BAIAP3:TSR3
ENSG00000007520:ENSG00000007516 TSR3:BAIAP3
ENSG00000007541:ENSG00000257108 PIGQ:NHLRC4
ENSG00000007541:ENSG00000282907 PIGQ:Z98883.1
ENSG00000007545:ENSG00000226890 CRAMP1:Z97652.1
ENSG00000007545:ENSG00000261732 CRAMP1:AL031708.1
ENSG00000007908:ENSG00000000460 SELE:C1orf112
ENSG00000007908:ENSG00000230704 SELE:AL021940.1
ENSG00000007923:ENSG00000041988 DNAJC11:THAP3
ENSG00000007933:ENSG00000221390 FMO3:MIR1295A
ENSG00000007933:ENSG00000283598 FMO3:MIR1295B
ENSG00000007944:ENSG00000263712 MYLIP:MIR4639
ENSG00000007952:ENSG00000239345 NOX1:HNRNPA1P26
ENSG00000008056:ENSG00000078061 SYN1:ARAF
ENSG00000008056:ENSG00000102265 SYN1:TIMP1
ENSG00000008056:ENSG00000263858 SYN1:MIR4769
ENSG00000008056:ENSG00000283743 SYN1:AL009172.2
ENSG00000008083:ENSG00000201367 JARID2:RNU6-522P
ENSG00000008083:ENSG00000201519 JARID2:RNU6-645P
ENSG00000008083:ENSG00000235488 JARID2:JARID2-AS1
ENSG00000008086:ENSG00000102104 CDKL5:RS1
ENSG00000008086:ENSG00000236187 CDKL5:GJA6P
ENSG00000008128:ENSG00000268575 CDK11A:AL031282.2
ENSG00000008226:ENSG00000060971 DLEC1:ACAA1
ENSG00000008226:ENSG00000231668 DLEC1:PPP2R2DP1
ENSG00000008256:ENSG00000202273 CYTH3:Y_RNA
ENSG00000008294:ENSG00000249870 SPAG9:AC005920.2
ENSG00000008300:ENSG00000284575 CELSR3:MIR4793
ENSG00000008311:ENSG00000252003 AASS:RNU7-154P
ENSG00000008324:ENSG00000093183 SS18L2:SEC22C
ENSG00000008382:ENSG00000267938 MPND:EIF1P6
ENSG00000008382:ENSG00000269318 MPND:AC007292.2
ENSG00000008382:ENSG00000269807 MPND:AC007292.3
ENSG00000008394:ENSG00000048540 MGST1:LMO3
ENSG00000008394:ENSG00000256238 MGST1:SUPT16HP1
ENSG00000008394:ENSG00000256450 MGST1:AC007552.1
ENSG00000008394:ENSG00000256564 MGST1:AC007552.2
ENSG00000008405:ENSG00000257548 CRY1:AC078929.1
ENSG00000008438:ENSG00000104983 PGLYRP1:CCDC61
ENSG00000008441:ENSG00000267417 NFIX:AC138474.1
ENSG00000008441:ENSG00000267610 NFIX:AC007787.1
ENSG00000008441:ENSG00000279044 NFIX:AC007787.2
ENSG00000008513:ENSG00000283176 ST3GAL1:AC103706.2
ENSG00000008513:ENSG00000283197 ST3GAL1:AC103706.3
ENSG00000008516:ENSG00000261971 MMP25:MMP25-AS1
ENSG00000008517:ENSG00000252561 IL32:RNU1-125P
ENSG00000008517:ENSG00000262370 IL32:AC108134.3
ENSG00000008710:ENSG00000103197 PKD1:TSC2
ENSG00000008710:ENSG00000200059 PKD1:Y_RNA
ENSG00000008710:ENSG00000221656 PKD1:MIR1225
ENSG00000008710:ENSG00000259933 PKD1:AC009065.2
ENSG00000008710:ENSG00000260447 PKD1:AC009065.3
ENSG00000008710:ENSG00000261123 PKD1:AC009065.5
ENSG00000008710:ENSG00000261240 PKD1:AC009065.6
ENSG00000008710:ENSG00000265867 PKD1:MIR4516
ENSG00000008710:ENSG00000284008 PKD1:MIR6511B1
ENSG00000008735:ENSG00000100288 MAPK8IP2:CHKB
ENSG00000008838:ENSG00000126351 MED24:THRA
ENSG00000008838:ENSG00000238793 MED24:SNORD124
ENSG00000008838:ENSG00000283721 MED24:MIR6884
ENSG00000008853:ENSG00000120889 RHOBTB2:TNFRSF10B
ENSG00000008853:ENSG00000134020 RHOBTB2:PEBP4
ENSG00000008853:ENSG00000245025 RHOBTB2:AC107959.1
ENSG00000008952:ENSG00000239219 SEC62:AC008040.1
ENSG00000008952:ENSG00000240373 SEC62:SEC62-AS1
ENSG00000008988:ENSG00000238650 RPS20:SNORD54
ENSG00000009307:ENSG00000201900 CSDE1:RNY1P13
ENSG00000009335:ENSG00000224629 UBE3C:AC004975.1
ENSG00000009335:ENSG00000225224 UBE3C:RPS27AP12
ENSG00000009335:ENSG00000236018 UBE3C:AC004898.1
ENSG00000009413:ENSG00000218676 REV3L:BRD7P4
ENSG00000009413:ENSG00000220392 REV3L:FCF1P5
ENSG00000009413:ENSG00000229276 REV3L:REV3L-IT1
ENSG00000009413:ENSG00000231889 REV3L:TRAF3IP2-AS1
ENSG00000009413:ENSG00000272356 REV3L:AL080317.3
ENSG00000009694:ENSG00000101972 TENM1:STAG2
ENSG00000009694:ENSG00000236880 TENM1:Z85995.1
ENSG00000009724:ENSG00000271895 MASP2:AL109811.3
ENSG00000009724:ENSG00000277726 MASP2:AL109811.4
ENSG00000009765:ENSG00000220598 IYD:SSR1P1
ENSG00000009780:ENSG00000230833 FAM76A:RPEP3
ENSG00000009780:ENSG00000231344 FAM76A:AL020997.1
ENSG00000009790:ENSG00000162757 TRAF3IP3:C1orf74
ENSG00000009830:ENSG00000100577 POMT2:GSTZ1
ENSG00000009950:ENSG00000274080 MLXIPL:AC005089.1
ENSG00000009954:ENSG00000252713 BAZ1B:RNU6-1198P
ENSG00000010017:ENSG00000225921 RANBP9:NOL7
ENSG00000010030:ENSG00000224666 ETV7:Z84484.1
ENSG00000010072:ENSG00000116903 SPRTN:EXOC8
ENSG00000010165:ENSG00000213060 METTL13:AL031864.1
ENSG00000010219:ENSG00000256748 DYRK4:AC005832.2
ENSG00000010219:ENSG00000272921 DYRK4:AC005832.4
ENSG00000010244:ENSG00000265794 ZNF207:AC005899.4
ENSG00000010244:ENSG00000283774 ZNF207:MIR632
ENSG00000010278:ENSG00000202318 CD9:Y_RNA
ENSG00000010282:ENSG00000230970 HHATL:HHATL-AS1
ENSG00000010282:ENSG00000244607 HHATL:CCDC13
ENSG00000010292:ENSG00000111639 NCAPD2:MRPL51
ENSG00000010292:ENSG00000239002 NCAPD2:SCARNA10
ENSG00000010292:ENSG00000276232 NCAPD2:AC006064.5
ENSG00000010295:ENSG00000245667 IFFO1:AC006064.1
ENSG00000010310:ENSG00000207773 GIPR:MIR642A
ENSG00000010310:ENSG00000283212 GIPR:MIR642B
ENSG00000010327:ENSG00000168268 STAB1:NT5DC2
ENSG00000010361:ENSG00000196961 FUZ:AP2A1
ENSG00000010361:ENSG00000269194 FUZ:AC006942.1
ENSG00000010379:ENSG00000255746 SLC6A13:AC007406.2
ENSG00000010404:ENSG00000238039 IDS:AC244197.2
ENSG00000010404:ENSG00000241489 IDS:AC244197.3
ENSG00000010438:ENSG00000223394 PRSS3:TRBV29OR9-2
ENSG00000010438:ENSG00000235481 PRSS3:UBE2R2-AS1
ENSG00000010539:ENSG00000262668 ZNF200:AJ003147.2
ENSG00000010626:ENSG00000111671 LRRC23:SPSB2
ENSG00000010626:ENSG00000111674 LRRC23:ENO2
ENSG00000010626:ENSG00000240370 LRRC23:RPL13P5
ENSG00000010626:ENSG00000248593 LRRC23:DSTNP2
ENSG00000010626:ENSG00000275703 LRRC23:U47924.3
ENSG00000010803:ENSG00000215893 SCMH1:RPL23AP17
ENSG00000010803:ENSG00000281207 SCMH1:SLFNL1-AS1
ENSG00000010818:ENSG00000232618 HIVEP2:AL355304.1
ENSG00000010818:ENSG00000233138 HIVEP2:AL023584.1
ENSG00000010818:ENSG00000237851 HIVEP2:AL023584.2
ENSG00000010932:ENSG00000206692 FMO1:Y_RNA
ENSG00000010932:ENSG00000230547 FMO1:HMGB1P11
ENSG00000010932:ENSG00000231424 FMO1:AL445673.1
ENSG00000011007:ENSG00000236810 ELOA:ELOA-AS1
ENSG00000011021:ENSG00000177000 CLCN6:MTHFR
ENSG00000011021:ENSG00000242349 CLCN6:NPPA-AS1
ENSG00000011028:ENSG00000199697 MRC2:RNU6-446P
ENSG00000011028:ENSG00000207382 MRC2:Y_RNA
ENSG00000011028:ENSG00000274565 MRC2:AC080038.1
ENSG00000011028:ENSG00000279713 MRC2:AC080038.3
ENSG00000011052:ENSG00000239672 NME1-NME2:NME1
ENSG00000011052:ENSG00000243678 NME1-NME2:NME2
ENSG00000011083:ENSG00000070808 SLC6A7:CAMK2A
ENSG00000011105:ENSG00000227081 TSPAN9:AC005912.1
ENSG00000011105:ENSG00000256197 TSPAN9:TSPAN9-IT1
ENSG00000011105:ENSG00000275850 TSPAN9:AC005912.2
ENSG00000011105:ENSG00000278469 TSPAN9:Metazoa_SRP
ENSG00000011114:ENSG00000241499 BTBD7:AL132838.2
ENSG00000011132:ENSG00000267138 APBA3:AC005954.1
ENSG00000011132:ENSG00000267205 APBA3:AC005954.2
ENSG00000011143:ENSG00000167419 MKS1:LPO
ENSG00000011198:ENSG00000160746 ABHD5:ANO10
ENSG00000011243:ENSG00000268189 AKAP8L:AC005785.1
ENSG00000011243:ENSG00000279203 AKAP8L:AC005785.2
ENSG00000011243:ENSG00000279716 AKAP8L:AC006128.1
ENSG00000011258:ENSG00000264895 MBTD1:AC006141.1
ENSG00000011258:ENSG00000279089 MBTD1:AC005839.1
ENSG00000011275:ENSG00000237738 RNF216:RNF216-IT1
ENSG00000011275:ENSG00000283419 RNF216:MIR6874
ENSG00000011295:ENSG00000141027 TTC19:NCOR1
ENSG00000011295:ENSG00000214941 TTC19:ZSWIM7
ENSG00000011295:ENSG00000227782 TTC19:AC002553.1
ENSG00000011295:ENSG00000243686 TTC19:AC002553.3
ENSG00000011295:ENSG00000275413 TTC19:AC002553.4
ENSG00000011304:ENSG00000284361 PTBP1:MIR4745
ENSG00000011347:ENSG00000256443 SYT7:AP003559.1
ENSG00000011347:ENSG00000279878 SYT7:AP003108.5
ENSG00000011376:ENSG00000232455 LARS2:LARS2-AS1
ENSG00000011405:ENSG00000110700 PIK3C2A:RPS13
ENSG00000011405:ENSG00000201586 PIK3C2A:RNU6-593P
ENSG00000011405:ENSG00000213779 PIK3C2A:AC107956.2
ENSG00000011405:ENSG00000240808 PIK3C2A:AC126389.1
ENSG00000011422:ENSG00000239948 PLAUR:RN7SL368P
ENSG00000011426:ENSG00000164542 ANLN:KIAA0895
ENSG00000011451:ENSG00000269782 WIZ:MIR1470
ENSG00000011454:ENSG00000188394 RABGAP1:GPR21
ENSG00000011454:ENSG00000213216 RABGAP1:AC007066.1
ENSG00000011454:ENSG00000222351 RABGAP1:RNY1P15
ENSG00000011454:ENSG00000225078 RABGAP1:AL365338.1
ENSG00000011478:ENSG00000125743 QPCTL:SNRPD2
